iter	RMSE
322	895.8733199
323	894.7954531
324	890.4321504
325	889.2343583
326	887.9003847
327	887.035849
328	886.0431649
329	885.0730134
330	884.0966541
331	883.1455118
332	882.281936
333	881.3191955
334	879.9146055
335	878.0285035
336	877.0513302
337	876.1253556
338	875.1855338
339	874.0230646
340	871.8897162
341	871.0481198
342	870.0606023
343	869.1656477
344	864.1663009
345	863.1951293
346	862.2986465
347	859.7301014
348	858.8185005
349	857.8393251
350	857.0071069
351	856.1841393
352	855.1565373
353	854.3829622
354	852.6252835
355	851.7113362
356	850.8370529
357	849.933258
358	849.0378217
359	848.1773484
360	847.293124
361	845.5337887
362	844.6584473
363	843.765365
364	842.9097313
365	838.3417256
366	837.486404
367	835.1532764
368	834.296268
369	830.7739806
370	829.8193899
371	828.9619204
372	828.1565902
373	823.5611597
374	822.603024
375	821.7809896
376	818.8772525
377	817.4382765
378	816.641603
379	815.8067017
380	814.995331
381	814.2173092
382	813.4224813
383	811.4533691
384	810.4953225
385	809.69736
386	808.6181003
387	807.8269219
388	806.752567
389	805.9541382
390	805.16275
391	804.4130722
392	803.6302356
393	802.9063702
394	800.5521832
395	799.4973983
396	796.1168629
397	792.757804
398	791.9840376
399	791.2515267
400	790.4910429
401	789.445145
402	788.6890531
403	787.9340117
404	787.2207567
405	786.5195644
406	785.7327674
407	784.8674837
408	784.1773881
409	783.4407405
410	782.5149873
411	779.2136498
412	778.4763942
413	777.8389334
414	773.9579147
415	773.2287194
416	772.4927333
417	770.2238822
418	769.4924388
419	768.4010827
420	767.6926284
421	767.0420464
422	766.0615989
423	765.3484066
424	764.7030742
425	763.8191601
426	763.2027716
427	762.5069925
428	761.5721844
429	760.8920332
430	760.2530045
431	759.5784276
432	758.8980955
433	758.1307219
434	755.9130712
435	755.0244126
436	754.3535456
437	753.6940749
438	753.0560991
439	749.79441
440	749.1335615
441	745.5000674
442	744.226183
443	742.8837313
444	742.1994897
445	741.538915
446	740.8855882
447	740.2306131
448	736.9304206
449	736.271358
450	735.6411183
451	735.0922811
452	734.5670523
453	733.9955179
454	733.4113159
455	732.7974719
456	732.2291008
457	730.9795551
458	730.3821078
459	729.8135427
460	729.2465871
461	728.485751
462	727.8740765
463	727.3172503
464	726.4844284
465	725.8367571
466	725.2352547
467	724.6522211
468	723.0617027
469	722.5275975
470	721.9155635
471	721.3238632
472	720.5466304
473	718.6542975
474	718.1416826
475	717.5138895
476	715.1367598
477	714.6236243
478	714.0486166
479	713.3633038
480	712.5451837
481	712.0837789
482	711.5232838
483	708.429559
484	707.8396744
485	707.2404295
486	705.8508352
487	704.3761738
488	703.735999
489	703.1744409
490	700.8398343
491	700.273182
492	699.6992085
493	699.12749
494	697.7796277
495	697.0461836
496	696.5099735
497	695.2789373
498	694.772107
499	689.4331976
